ID,Ryzyko,Sloty
Adamczyk,1,"2,4"
Barozzini,1,"1,6"
Bellitto,0,"1,6"
Biecek,0,"1,78"
Biliński,1,"3,2"
Bojańczyk,1,4
Celińska-Kopczyńska,0,"2,4"
Charalampopoulos,0,1
Chen,0,1
Chengot Sankaramenon,0,"1,6"
Chung,1,4
Clemente,1,4
Cygan,1,4
Cyranka,0,"2,4"
Czerwiński,1,4
Darvish Shafighi,1,"2,4"
Defrain,0,1
Diks,1,4
Dojer,1,4
Dross,0,1
Dunin-Kęplicz,1,4
Dutta,0,"2,4"
Dziembowski,1,4
Dziubiński,1,4
Fabiański,0,"1,64"
Fleszar,1,"2,4"
Gajarský,0,1
Gambin,1,4
Geniet,0,1
Gogacz,1,4
Gogolewski,0,"1,76"
Gora,0,"1,6"
Górecki,1,4
Hofman,1,4
Iwanicki,1,4
Jankowski,0,"1,6"
Janusz,1,4
Jaworski,1,"2,4"
Kaliszyk,1,1
Kang,1,"2,4"
Karczmarz,1,"2,08"
Kazana,1,2
Kelmendi,0,1
Kiefer,0,1
Klin,1,4
Kołodziejski,1,"2,4"
Kopczyński,1,4
Kowalik,1,4
Kowaluk,1,4
Kozłowski,1,"3,2"
Lasota,1,4
Lhote,0,"1,6"
Li,1,"3,2"
Machnicka,1,"3,2"
Majewski,0,"1,44"
Mari,0,1
Masařik,0,"1,6"
Michalak,1,4
Michalewski,1,"1,25"
Michielini,1,"3,2"
Mucha,1,4
Mukherjee,0,"1,6"
Murlak,1,4
Muzi,0,"1,6"
Nadara,1,"2,4"
Nguyen AL,1,4
Nguyen HS,1,4
Niemyska,1,4
Niwiński,1,4
Novotná,0,"2,4"
Nyporko,0,1
Odrzygóźdź,0,1
Okrasa,0,"2,4"
Pacuk,0,2
Parys,1,4
Paszek,0,"1,6"
Pawlewicz,1,4
Pilipczuk Ma,1,4
Pilipczuk Mi,1,4
Plandowski,1,4
Pratt-Hartmann,0,1
Przybylski,0,"1,6"
Przybyłek,1,"2,4"
Radoszewski,1,4
Rosa,0,1
Rutka,0,"1,6"
Rytter,1,2
Rządca,1,"3,2"
Rzążewski,0,1
Salamanca Tellez,1,4
Sankowski,1,4
Schmude,1,"3,2"
Schubert,1,4
Skibski,1,4
Skowron,1,"3,2"
Skrzypczak,1,4
Smulewicz,1,"3,2"
Sokołowski,0,"1,44"
Sorge,0,"1,6"
Sroka,1,4
Startek,1,4
Stefański,0,"1,6"
Stencel,1,4
Straszyński,0,1
Szałas,1,4
Szczurek,1,4
Ślęzak,1,4
Tarlecki,1,4
Tempczyk,0,"1,4"
Tiuryn,1,"3,2"
Toruńczyk,1,4
Tuszyńska,1,"3,2"
Tyszkiewicz,1,4
Urzyczyn,1,4
Vigny,0,1
Waleń,1,4
Wasilewski,1,4
Węgrzycki,1,"2,88"
Wilczyński,1,4
Witkowski,0,"2,4"
Włodarczyk,1,"2,32"
Wrochna,0,1
Wygocki,1,"2,4"
Zanka,0,1
Zych-Pawlewicz,1,4